BF (Beta) Series   0/50
(bundle)
​
Boyfriend (Beta) - 0/45
Alan Sumeragi
Aoi Kuwakado
Arashi Negoto
Chikanojo Izumi
Chisato Watase
Eiji Takamura
Gaku Ichinose
Haru Momokoshi
Hiromu Osaka
Ikuto Wakasa
Kai Hirose
Kazuki Mukai
Keiji Toma
Keishi Fuwa
Keito Amane
Kengo Myojin
Kishin Kujo
Kuniharu Moribe
Kuon Amamiya
Kyoichiro Mayama
Masaomi Takatsukasa
Masato Narumi
Minato Hyuga
Mizuki Hosho
Momota Asuma
Motoi Shirakawa
Naokage Yoshiya
Natsuki Hodaka
Nozomi Okuyui
Ren Saionji
Rikyo Tsukuyomi
Rinto Shinkai
Ruka Sakurazawa
Ryota Miyanokoshi
Ryunosuke Sena
Saku Kagami
Seishiro Tsutsumi
Shota Kitagawa
Shu Sagisaka
Taiga Mibu
Takeru Kitashiro
Tatsumi Shinonome
Tokimune Kurogiri
Toma Kisaragi
Yuri Serizawa

Boyfriend (Beta) Kirameki Note - 0/5
Ichigo Nomiya
Kotaro Inui
Mitsuru Kannagi
Senji Kido
Shin Saeba
